NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2015;Cajazeiras;2503704;EMEIEF IRMA NIRVANDA LEITE ROLIM;3;128;18;0;18;53;53;0
2015;Cajazeiras;2503704;ESCOLA MENINO MALUQUINHO;4;39;17;0;17;22;22;0
2015;Cajazeiras;2503704;CENTRO EDUCACIONAL SENHORA DA PIEDADE;4;40;21;0;21;19;19;0
2015;Cajazeiras;2503704;ESCOLA SORRISO INFANTIL;4;198;83;0;83;115;115;0
2015;Cajazeiras;2503704;DEFINICAO COLEGIO E CURSO;4;389;58;19;39;211;92;119
2015;Cajazeiras;2503704;CENTRO EDUCACIONAL IMACULADA CONCEICAO;4;92;40;0;40;52;52;0
2015;Cajazeiras;2503704;EEIF NOVO SECULO;4;41;20;6;14;21;21;0
2015;Cajazeiras;2503704;ASSOCIACAO DAS ANTIGAS ALUNAS DOROTEIAS;4;54;54;54;0;0;0;0
2015;Cajazeiras;2503704;CRECHE NOSSA SENHORA DA PIEDADE;3;110;110;63;47;0;0;0
2015;Cajazeiras;2503704;INSTITUTO EDUCACIONAL NOSSA SENHORA DE FATIMA;4;85;46;7;39;39;39;0
2015;Cajazeiras;2503704;EEIF ESTRELA CADENTE;4;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;SESC LER CAJAZEIRAS;4;58;0;0;0;0;0;0
2015;Cajazeiras;2503704;CRECHE SAO JOSE;3;109;109;63;46;0;0;0
2015;Cajazeiras;2503704;EDUCANDARIO PASSOS FIRMES;4;49;38;8;30;11;11;0
2015;Cajazeiras;2503704;EEIF FENIX;4;45;30;0;30;15;15;0
2015;Cajazeiras;2503704;EDUCANDARIO SONHO MEU;4;47;30;3;27;17;17;0
2015;Cajazeiras;2503704;MASTERS GOLD COLEGIO E CURSO;4;141;0;0;0;61;28;33
2016;Cajazeiras;2503704;COLEGIO NOSSA SRª DE LOURDES;4;1073;166;55;111;615;298;317
2016;Cajazeiras;2503704;COLEGIO NOSSA SRA DO CARMO LTDA;4;746;74;48;26;475;205;270
2016;Cajazeiras;2503704;COLEGIO ALTERNATIVO MASTER;4;76;23;7;16;53;39;14
